name,permalink,perfect_match,schools,school_subjects,job_titles,founded_on,location,undisclosed_amount,fund 0,categories,fund 1,fund 2,fund 3,fund 4,fund 5,fund 6,fund 7,fund 8,fund 9,fund 10,fund 11,fund 12,fund 13,fund 14,fund 15,fund 16,fund 17,fund 18,fund 19,fund 20,fund 21,fund 22,fund 23,fund 24,fund 25,num_fund_rounds
"Brunsdon Law Firm, LLC",brunsdon-law-firm-llc,no,,,,2007,"Akron, Ohio",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Segmint,segmint,no,kent-state-university,Information Technology,"Co-Founder & Board Member, Founder & President",2007,"Cuyahoga Falls, Ohio",no,2014:12008400,"Analytics, Banking, Financial Services, FinTech, Marketing Automation, Predictive Analytics",2014:9000000,2014:2540000,2013:3295000,2011:2673977,,,,,,,,,,,,,,,,,,,,,,5
Amplifinity,amplifinity,no,university-of-michigan,"College of Literature, Science and the Arts",Co-Founder & Chief Advocacy Officer,2008,"Ann Arbor, Michigan",no,2015:2489114,"Brand Marketing, Enterprise Software, Lead Generation, Marketing Automation, SaaS, Software",2014:7000000,2011:3600000,2010:2500000,,,,,,,,,,,,,,,,,,,,,,,4
Epsilon Imaging,epsilon-imaging,no,,,,2008,"Ann Arbor, Michigan",no,2015:153529,"Analytics, Medical, Medical Device",2013:4000000,2013:1465750,2011:1465000,2009:1222600,,,,,,,,,,,,,,,,,,,,,,5
HathiTrust,hathitrust,no,,,,2008,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NewswireLaw.com,newswirelaw-com,no,,,,2008,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
OcuSciences,ocusciences,no,,,Founder,2008,"Ann Arbor, Michigan",no,2009:900000,"Biotechnology, Health Care, Health Diagnostics, Medical Device",,,,,,,,,,,,,,,,,,,,,,,,,,1
U-M Center for Entrepreneurship,u-m-center-for-entrepreneurship,no,,,,2008,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AdAdapted,adadapted,no,tulane-university,"English, Creative Writing",Founder & Chief Revenue Officer,2012,"Ann Arbor, Michigan",no,2020:3927353,"Advertising, Brand Marketing, Digital Media, Software",2018:250000,2015:460000,2014:400000,2014:325000,,,,,,,,,,,,,,,,,,,,,,5
FridgeNality,fridgenality,no,,,"Founder, Director of Data Integration, Director and Global Trends Strategist",2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Kontextual,kontextual,no,,,,2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Larky,larky,no,,,"Co-Founder, Advisor",2012,"Ann Arbor, Michigan",no,2014:1760000,"Financial Services, Location Based Services, Loyalty Programs, Mobile",2012:650000,,,,,,,,,,,,,,,,,,,,,,,,,2
Michigan Hackers,michigan-hackers,no,,,,2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BestFoodFeed,myfab5,no,university-of-michigan-ross-school-of-business,Business Administration,"Co-Founder, CEO, Business Analyst",2012,"Ann Arbor, Michigan",no,2014:75000,"Hospitality, Local Advertising, Restaurants, Social Media, Software",2013:50000,2012:17500,,,,,,,,,,,,,,,,,,,,,,,,3
NeuMoDx Molecular,neumodx-molecular,no,"university-of-michigan, alma-college-alma","unknown, Biology","President and CEO, Team Member, CEO and Chairman of the Board, President and CEO, President and CEO, Chairman & CEO",2012,"Ann Arbor, Michigan",no,2018:20039942,"Biotechnology, Health Care, Health Diagnostics, Medical",2016:19999995,2014:21000000,2012:5000000,,,,,,,,,,,,,,,,,,,,,,,4
NewFoundry,newfoundry,no,,,,2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
PHASIQ,phasiq,no,,,"UM Inventor, founder and CSO, Adjunct Professor",2012,"Ann Arbor, Michigan",yes,0,"Health Care, Medical",,,,,,,,,,,,,,,,,,,,,,,,,,1
Real Time Farms,real-time-farms,no,,,"Co-founder, Senior Software Engineer",2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Sakai,sakai,no,,,,2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Showcase,showcase-2,no,,,,2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SkySpecs,skyspecs,no,"university-of-michigan, university-of-michigan","Engineering, Aerospace Engineering, Engineering, Aerospace Engineering",Founder & Chief Technology Officer,2012,"Ann Arbor, Michigan",yes,2021:10159113,"Aerospace, Analytics, Asset Management, Drones, Energy Efficiency, Productivity Tools, Renewable Energy, Robotics, Wind Energy",2019:17000000,2018:8000000,2015:3000000,2014:500000,0,,,,,,,,,,,,,,,,,,,,,6
TowerSec,towersec,no,holon-institute-of-technology-2,Electrical Engineering,"Advisory board member, Co Founder & CEO, Co Founder & CTO, Advisory board member",2012,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BizeeBox,bizeebox,no,,,,2013,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Covaron Advanced Materials,covaron-advanced-materials,no,oberlin-college,Biochemistry and Neuroscience,"Founder & CSO, Associate Director & Head of Strategic Information, CSO",2013,"Ann Arbor, Michigan",no,2013:550000,"Advanced Materials, Chemical, Manufacturing",2013:550000,,,,,,,,,,,,,,,,,,,,,,,,,2
CubeWorks,cubeworks,no,,,COO,2013,"Ann Arbor, Michigan",yes,2018:3900000,"Biopharma, Computer, Electronics, Information Technology, Internet of Things, Sensor",0,,,,,,,,,,,,,,,,,,,,,,,,,2
Equarius Risk Analytics LLC,equarius-risk-analytics-llc,no,,,,2013,"Ann Arbor, Michigan",no,2014:100000,"Analytics, Financial Services, FinTech",,,,,,,,,,,,,,,,,,,,,,,,,,1
HT Mobile Apps,ht-mobile-apps,no,,,"Advisor, Founder, CEO, Member, Board of Directors",2013,"Ann Arbor, Michigan",yes,0,Software,,,,,,,,,,,,,,,,,,,,,,,,,,1
Matterhorn,court-innovations,no,,,Owner,2013,"Ann Arbor, Michigan",no,2017:1800000,"GovTech, Law Enforcement, Legal, Legal Tech, SaaS, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
Skipstone,skipstone-2,no,,,,2013,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Trove, Inc.",notion-ai,no,,,"Co-Founder, Founder, Director",2013,"Ann Arbor, Michigan",no,2016:9500000,"Artificial Intelligence, Communications Infrastructure, Email, Internet, Lead Generation, Messaging",2015:1500000,,,,,,,,,,,,,,,,,,,,,,,,,2
Broke App,broke-app,no,,,"Director, Software Strategy & Transformation, Co Founder",2015,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Cahoots,cahoots-190e,no,,,,2015,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Clinc,clinc-3,no,"university-of-michigan, university-of-california-san-diego, university-of-san-diego","Computer Science and Engineering, Computer Science and Engineering, Mathematics and Computer Science","Co-founder & CTO, Interim Chief Executive Officer",2015,"Ann Arbor, Michigan",no,2019:52000000,"Artificial Intelligence, Machine Learning, Software",2017:6300000,2016:1200000,2015:250000,,,,,,,,,,,,,,,,,,,,,,,4
Extraordinary Things,extraordinary-things,no,"university-of-michigan, university-of-michigan, eastern-michigan-university","Natural Resource Policy & Administration, Corporate Strategy, Marketing, History & Political Science","Director, Managing Director, Board of Directors, Founder, Managing Director, President & CFO, Board of Directors, Board of Directors, Director, Tech Transfer Venture Center, Director, Sellers Advisory Panel, Board of Directors, Voices Advisory Panel, Board of Directors, Cofounder, Senior Venture Specialist, Advisor, Assistant Director, Michigan Venture Center, Board of Directors, Director, Michigan Venture Center, Board of Directors, Vice President, Business Acceleration, Founder, Managing Director, Accelerate Blue Fund",2015,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
HiveLend,hivelend,no,,,,2015,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Impellia,impellia,no,,,Co-Founder,2015,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Intelligent Exercise Systems,intelligent-exercise-systems,no,,,,2015,"Ann Arbor, Michigan",no,2015:150000,"Health Care, Medical, Physical Security",,,,,,,,,,,,,,,,,,,,,,,,,,1
Kulisha,kulisha-fbb9,no,,,,2015,"Ann Arbor, Michigan",yes,0,Biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,1
MOXYTECH,moxytech,no,,,Vice President Of Development,2015,"Ann Arbor, Michigan",no,2017:300000,"Apps, Developer APIs, Health Care, Hospital, Medical, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
New Vital Signs,new-vital-signs,no,,,,2015,"Ann Arbor, Michigan",no,2016:1000000,"Medical Device, Sensor",,,,,,,,,,,,,,,,,,,,,,,,,,1
Saturnup,saturnup,no,,,Co-founder,2015,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Strata Oncology,strata-oncology,no,university-of-michigan,Molecular and Cellular Pathology,"Chief Medical Officer, Co-Founder",2016,"Ann Arbor, Michigan",no,2021:90000000,"Biotechnology, Genetics, Health Care, Health Diagnostics, Medical Device",2018:26000000,2016:12000000,,,,,,,,,,,,,,,,,,,,,,,,3
Totem,totem,no,"harvard-university, georgetown-university","Mind, Brain & Education, Psychology & Cognitive Science","Co-Founder & CEO, Co - Founder & Advisor, Strategic Advisor, Co-Founder & CEO, Senior Product Manager, CEO, Graduate Student Researcher, Former Employee, Advisor, Partner, Head, Tennis Department",2012,"New York, New York",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"TrueJob, Inc.",truejob-inc,no,,,Founder,2015,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Workit Health,workit-health,no,"california-college-of-the-arts, university-of-michigan","Graphic Design, English & Art History","Co-Chief Executive Officer (CEO), Co-Founder, Founder, Principal, Co-Founder, CEO",2015,"Ann Arbor, Michigan",no,2021:90000000,"Health Care, Hospital, Personal Health, Risk Management",2021:28000000,2020:11999996,2019:5000000,2016:3000000,,,,,,,,,,,,,,,,,,,,,,5
Zomedica,zomedica,no,western-michigan-university,International Business,"Chairman & CEO, Senior Vice President, Executive Chairman",2015,"Ann Arbor, Michigan",no,2021:173500000,"Pharmaceutical, Veterinary",2020:50000000,2020:2500000,2019:7000000,2019:4280000,2018:1800000,2018:10000000,2017:3319997,2016:3850893,,,,,,,,,,,,,,,,,,9
Bamboo Commerce,bamboo-commerce,no,,,Co founder,2016,"Ann Arbor, Michigan",no,2017:1000000,"Manufacturing, Retail, SaaS, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
Circadian Risk Inc.,circadian-risk-inc,no,"trident-university, michigan-state-university, michigan-state-university","Entrepreneurship, Criminal Justice with a Specialization in Security Management, Criminal Justice with a Specialization in Security Management","Regional Bioterrorism Coordinator, Founder & Chief Innovation Officer, Instructor",2016,"Ann Arbor, Michigan",no,2020:1900000,"Apps, Security, Software",2019:691207,2018:900000,,,,,,,,,,,,,,,,,,,,,,,,3
Every Two Minutes,every-two-minutes,no,michigan-state-university,Telecommunications,Founder & CEO,2018,"Ann Arbor, Michigan",no,2020:4000,"Big Data, EdTech, Mobile Apps, Public Safety, Smart Cities, Social, Social Entrepreneurship, Wearables",2020:3000,2019:40000,2019:3000,2018:20000,2018:20000,2018:10000,,,,,,,,,,,,,,,,,,,,7
Find Your Ditto,find-your-ditto,no,university-of-michigan,Health Information/Medical Records Administration/Administrator,"Co-founder & CPO, Alumni Society Board Member, Manager, Solutions Delivery",2016,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Gaudium,gaudium-inc,no,,,,2016,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Groundspeed Analytics,groundspeed-analytics,no,university-of-michigan,unknown,"Founder, Chief Executive Officer",2016,"Ann Arbor, Michigan",yes,0,"Analytics, Commercial Insurance, Insurance, InsurTech, Machine Learning",2018:30000000,2017:2000000,,,,,,,,,,,,,,,,,,,,,,,,3
Gwydion,gwydion,no,,,Founder,2016,"Ann Arbor, Michigan",no,2017:560000,"Augmented Reality, EdTech, Education, Pharmaceutical, SaaS, Software, Virtual Reality",,,,,,,,,,,,,,,,,,,,,,,,,,1
Parabricks,parabricks,no,university-of-illinois,Electrical Engineering,"CSO & Co-Founder, Professor, Research Partner",2016,"Ann Arbor, Michigan",no,2018:400000,"Analytics, Cloud Computing, Machine Learning, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
Parrable,parrable,no,university-of-colorado,unknown,"CTO & Co-Founder, Co-Founder/VP Technology",2010,"Ann Arbor, Michigan",yes,0,"Big Data, Identity Management, Machine Learning, Mobile, SaaS",0,2016:2750000,0,2014:1450000,,,,,,,,,,,,,,,,,,,,,,5
Ripple Science,ripple-science,no,,,Founder,2016,"Ann Arbor, Michigan",yes,0,"Clinical Trials, Health Care, SaaS, Software",2020:2500000,2018:1800000,2017:750000,,,,,,,,,,,,,,,,,,,,,,,4
RXA,rxa,no,,,,2016,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ShapeLog,shapelog-2,no,,,,2016,"Ann Arbor, Michigan",yes,2021:1157494,"Fitness, Health Care, Medical, Mobile Apps",2018:1750000,0,,,,,,,,,,,,,,,,,,,,,,,,3
Sniffer Robotics,sniffer-robotics-llc,no,,,"Co-Founder, COO, Founder/CEO, Founder & CEO",2016,"Ann Arbor, Michigan",no,2018:500000,"Drones, Environmental Consulting, Environmental Engineering, Information Services, Oil and Gas, Robotics, Sensor, Waste Management",2017:40000,,,,,,,,,,,,,,,,,,,,,,,,,2
SpellBound,magicbook,no,,,"CoFounder, Product Consultant & Delivery Lead",2016,"Ann Arbor, Michigan",yes,0,"Augmented Reality, Health Care, Hospital, Mobile Apps",2018:652000,,,,,,,,,,,,,,,,,,,,,,,,,2
TechStak,techstak,no,"oakland-university, michigan-state-university",Audiologist,Founder and CEO,2016,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Anoloriya,anoloriya,no,"mary-baldwin-college, linguistic-society-of-america, university-of-michigan","Corporate Strategy, Neurolinguistics, Linguistics","Chief Financial Officer, Principal-in-charge",2017,"Ann Arbor, Michigan",no,2019:53000,"Blockchain, Consulting, Education, Information Technology, Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,1
Appscalar,appscalar,no,,,,2017,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Atoma Technologies, LLC",atoma-technologies-llc,no,,,,2017,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Bedestrian,bedestrian,no,,,,2017,"Ann Arbor, Michigan",no,2019:100000,"Delivery, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
"Collective Scientific, LLC",collective-scientific-llc,no,,,,2017,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Connect Space,connect-space,no,eastern-michigan-university,unknown,"Founder & CEO, Analyst, Regional Sales and Marketing Manager",2017,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
First Building Solutions,first-building-solutions,no,,,,2018,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Flugauto,flugauto,no,,,CEO,2018,"Austin, Texas",yes,2018:1000000,"Drones, Industrial, Logistics, Transportation",0,2018:120000,,,,,,,,,,,,,,,,,,,,,,,,3
FreightRoll,freightroll,no,,,"Founder, Founder",2017,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Give and Take,give-and-take,no,"university-of-michigan, wayne-state-university","Computer Science, unknown","CEO and Managing Director, Board Member, Board Member, Advisory Board Member, Advisor, Board Member, President and CEO, Founder, Board Member, Vice President, CTO, CEO",2017,"Ann Arbor, Michigan",no,2017:2200000,"Collaboration, Information Technology, SaaS, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
Jottful,jottful,no,"university-of-michigan, columbia-business-school","Design & General Studies, Management","VP Marketing, Founder, Adjunct Management Faculty, Vice President (VP) Marketing, COO, Founder & CEO, Strategic Marketing Associate/Intern, Marketing Director",2017,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Kho Labs,kho-labs,no,,,Founder/CEO,2017,"Ann Arbor, Michigan",no,2018:20000,"Health Care, Medical, Sports",,,,,,,,,,,,,,,,,,,,,,,,,,1
pocketnest,pocketnest,no,,,Founder & CEO,2018,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Refraction AI,refraction-ai,no,,,Co-Founder,2017,"Ann Arbor, Michigan",no,2021:4200000,"Artificial Intelligence, Automotive, Information Technology, Logistics, Robotics, Supply Chain Management",2020:1500000,2019:2650000,,,,,,,,,,,,,,,,,,,,,,,,3
Structure,structure,no,,,Founder,2017,"Ann Arbor, Michigan",no,2018:85000,"Cloud Computing, Cloud Infrastructure, Developer Tools, PaaS",,,,,,,,,,,,,,,,,,,,,,,,,,1
XiWATT,xiwatt,no,university-of-windsor-2,Electrical engineering,Energy lead,2017,"Ann Arbor, Michigan",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
*gram Labs,gram-labs,no,harvard-business-school,unknown,"Co-founder & CEO, Co-founder & CEO, Advisor",2015,"Arlington, Virginia",yes,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,1
BitVoyant,bitvoyant,no,,,,2015,"Arlington, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ChurnZero,churnzero,no,"university-of-california-berkeley, yale-university","Business Administration, Urban Studies","Founder & CEO, CMO, Founder, Product Manager, Director, Product Management, Founder and CEO, Director, Web Tools Group, Project Manager, Founder and CEO, CEO, Founder",2015,"Washington, District of Columbia",no,2021:25000000,"Enterprise Software, SaaS, Software",2019:7000000,2017:2500000,,,,,,,,,,,,,,,,,,,,,,,,3
ExecVision,execvision,no,georgetown-university,Finance,Chief Evangelist,2015,"Arlington, Virginia",yes,2018:5400000,"Artificial Intelligence, Computer, Information Technology, SaaS, Software",0,0,2016:100000,,,,,,,,,,,,,,,,,,,,,,,4
EYL,eyl,no,ajou-university,,Co-Founder,2015,"Arlington, Virginia",no,2016:800000,"Computer, Cyber Security, Network Security",2016:100000,,,,,,,,,,,,,,,,,,,,,,,,,2
iDEA WONKs,idea-wonks,no,,,,2015,"Arlington, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Koios,koios,no,university-of-south-carolina,International Business,Founder & CEO,2015,"Arlington, Virginia",yes,2017:15000,"Digital Marketing, E-Commerce, Education, GovTech, Search Engine, Software",2015:17500,0,,,,,,,,,,,,,,,,,,,,,,,,3
"Notice Enterprises, Inc.",notice-technologies-llc,no,,,"CTO & Co-founder, Co-founder",2015,"Arlington, Virginia",yes,0,"Communications Infrastructure, CRM, Delivery, Enterprise Applications, Enterprise Software, Messaging, Mobile Apps, SaaS, Transportation",,,,,,,,,,,,,,,,,,,,,,,,,,1
NUI Media,nui-media,no,,,"Founder - CEO, VP Sales",2015,"Arlington, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Paykii,paykii,no,harvard-business-school,Business,Chief Operations Officer,2015,"Arlington, Virginia",yes,0,"Billing, Developer Platform, FinTech, Information Services, Information Technology, Mobile Payments, Payments",2018:1550000,2017:500000,,,,,,,,,,,,,,,,,,,,,,,,3
ShiftOne,momentsnap,no,north-carolina-state-university,Computer Science,"Co-Founder, Director Of Consulting Services, Founder & Product Manager, Venture Advisor, Managing Partner, Founder, VP Products, Software Developer, CEO & Co-Founder",2015,"Arlington, Virginia",no,2019:2600000,"Analytics, Artificial Intelligence, Customer Service, Employment, Human Resources, Information Technology, Mobile Apps, Software",2017:2300000,,,,,,,,,,,,,,,,,,,,,,,,,2
Student Opportunity Center,student-opportunity-center,no,,,CEO,2015,"Alexandria, Virginia",yes,2019:850000,Education,0,,,,,,,,,,,,,,,,,,,,,,,,,2
UNOMICEDGE,eunomic,no,,,,2015,"Arlington, Virginia",no,2015:50000,"Information Technology, Network Security, Software",,,,,,,,,,,,,,,,,,,,,,,,,,1
Vemo Education,vemo-education,no,"georgetown-university-law-center-f3cd, georgetown-university, u-s-naval-academy",,"Chief Executive Officer, legal, Director, attorney, artillery officer",2015,"Arlington, Virginia",yes,2019:24600000,"Education, Financial Services, FinTech, Higher Education",2017:7400000,0,0,2015:2000000,,,,,,,,,,,,,,,,,,,,,,5
Yellowstone,yellowstone,no,boston-university,"Advertising, History",Founder,2015,"Arlington, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BluVector Inc.,bluvector,no,,,"CTO, CIO and VP of Support & Services, VP of Security Assurance Services, General Manager for Security Services Division, President, Co-Chair of the IBM's Social Networking Committee, Chairman of IBM's IT Risk Steering Committee, Co-Chair of IBM's Data Security Steering Committee, CEO, Member of Advisory Board, VP of Information Technology Risk & Global CISO",2017,"Arlington, Virginia",yes,0,"Cyber Security, Information Technology, Network Security",,,,,,,,,,,,,,,,,,,,,,,,,,1
DXC Technology,dxc-technology,no,,,,2017,"Arlington, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Faculty Guild,faculty-guild,no,,,,2017,"Arlington, Virginia",yes,0,"EdTech, Education, Higher Education",,,,,,,,,,,,,,,,,,,,,,,,,,1
Fotomo,fotomo,no,"harvard-business-school, california-state-university, georgetown-university, manchester-business-school","Strategic Intelligence, Marketing, Business Leadership, AML and Sanctions Compliance","CEO & Cofounder, Founder & CEO, Business Director / Cofounder, Advisor, Advisor, Partner and Advisor, Sr. Advisor, Advisor, Regional Manager / Vice President, Ambassador, Advisor, Sr. Advisor, Account Manager, Advisor, Advisor, Advisor, Advisor, Managing Partner, Founder",2017,"Arlington, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Grey Market Labs,grey-market-labs,no,,,CTO,2017,"Arlington, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Higher Digital,higher-digital,no,,,,2017,"Arlington, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Lovelytics,lovelytics,no,purdue-university,Selling and Sales Management,,2017,"Arlington, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Parvenu,parvenu-fundraising-inc,no,,,,2017,"Arlington, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Reyets: Social Justice Network,reyets,no,"harvard-business-school, california-state-university, georgetown-university, manchester-business-school","Strategic Intelligence, Marketing, Business Leadership, AML and Sanctions Compliance","CEO & Cofounder, Founder & CEO, Business Director / Cofounder, Advisor, Advisor, Partner and Advisor, Sr. Advisor, Advisor, Regional Manager / Vice President, Ambassador, Advisor, Sr. Advisor, Account Manager, Advisor, Advisor, Advisor, Advisor, Managing Partner, Founder",2017,"Arlington, Virginia",no,2021:60000,"CivicTech, Communities, GovTech, Journalism, Law Enforcement, Legal, Legal Tech, Mobile Apps, Public Safety, Video Streaming",2021:60000,2019:75000,2018:100000,,,,,,,,,,,,,,,,,,,,,,,4
SCYTHE,scythe,no,"university-of-florida, university-of-maryland, the-university-of-texas-at-austin, united-states-military-academy-at-west-point","unknown, Telecommunications Management, Electrical Engineering / Computer Science, Computer Science","Grant Advisory Board, CEO & Founder, Senior Fellow, Cybersecurity & Emerging Threats, CEO and Founder, Investor, Chairman & Founder, Faculty, Co-Founder, Managing Director, Senior Fellow",2018,"Arlington, Virginia",yes,2021:10000000,"Cyber Security, Enterprise, Risk Management",2018:3000000,0,,,,,,,,,,,,,,,,,,,,,,,,3
Stori Card,powerup-technology,no,,,Co-founder,2019,"Mexico City, Distrito Federal",no,2021:125000000,"Apps, Finance, FinTech, Information Services, Information Technology",2021:75000000,2021:32500000,2019:10000000,2019:5557000,2018:1500000,,,,,,,,,,,,,,,,,,,,,6
Unstuck Labs,stuck-in-the-sand-llc,no,"harvard-business-school, california-state-university, georgetown-university, manchester-business-school","Strategic Intelligence, Marketing, Business Leadership, AML and Sanctions Compliance","CEO & Cofounder, Founder & CEO, Business Director / Cofounder, Advisor, Advisor, Partner and Advisor, Sr. Advisor, Advisor, Regional Manager / Vice President, Ambassador, Advisor, Sr. Advisor, Account Manager, Advisor, Advisor, Advisor, Advisor, Managing Partner, Founder",2017,"Arlington, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Visajump,visajump,no,,,,2017,"Arlington, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Aretech,aretech,no,,,,2008,"Ashburn, Virginia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
InviteShare,inviteshare,no,university-of-north-texas-2,unknown,"Partner - VP Product, Web/UI Developer, Lead Designer, Founder, Senior Product Designer, Co-Founder, Design Director, Founder, Director of Design & User Experience",2007,"Atherton, California",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4th & Swift,4th-swift,no,san-francisco-state-university-college-of-business,International Business,"Founder & Director of the Board, Founder / CEO",2008,"Atlanta, Georgia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Attain Med,attain-med,no,,,,2008,"Atlanta, Georgia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Autonomous Fusion,wheego-electric-cars,no,,,,2008,"Atlanta, Georgia",yes,2010:5000000,"Artificial Intelligence, Automotive, Autonomous Vehicles, Electronics, Machine Learning, Software",0,,,,,,,,,,,,,,,,,,,,,,,,,2
Azalea Health,azalea-health,no,valdosta-state-university,Finance,"Co-Founder, CFO & VP of RCM",2008,"Atlanta, Georgia",yes,2021:30000000,"Health Care, Information Technology, Software",0,2016:10500000,2015:1500000,2015:1500000,,,,,,,,,,,,,,,,,,,,,,5
BlueFletch,bluefletch,no,morehouse-college,Computer Science,"Consultant, CEO",2008,"Atlanta, Georgia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Cardlytics,cardlytics,no,"union-college, stanford-university, stanford-graduate-school-of-business","unknown, unknown, unknown","Chief Executive Officer & Co-Founder, Principal, Executive Chairman & Co-Founder, Board Member, Vice President, Senior Vice President, Senior Vice President and GM - Payments, Principal",2008,"Atlanta, Georgia",no,2017:11940331,"Advertising, Banking, Financial Services, Mobile",2016:27000000,2014:70000000,2013:45000000,2011:33000000,2010:18500000,2009:5300000,2008:1900000,,,,,,,,,,,,,,,,,,,8
Clash Graphics,clash-graphics,no,,,,2008,"Atlanta, Georgia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Company.com,company-com-cddd,no,,,CEO,2008,"Atlanta, Georgia",yes,0,"Cloud Computing, Enterprise, Human Resources, Marketing",,,,,,,,,,,,,,,,,,,,,,,,,,1
Configero,configero,no,,,,2008,"Atlanta, Georgia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Creative Circle,creative-circle,no,,,,2008,"Atlanta, Georgia",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Endavo Media and Communications,endavo-media-and-communications,no,,,"President, CEO",2008,"Atlanta, Georgia",no,2009:1068807,"Internet, Media and Entertainment, Software, Video, Video Streaming",2009:453753,2008:175000,2008:400000,,,,,,,,,,,,,,,,,,,,,,,4
